Campeao,Numero_de_Jogos,Skillshots_Dodged_Medio,Dodges_Milissegundo_Medio,Minions_10min_Medio,Dano_Equipe_Pct_Medio
Aatrox,628,32.92,2.22,50.0,22.5
Ahri,818,30.96,1.59,74.14,22.81
Akali,622,34.42,2.15,70.59,24.01
Akshan,177,32.94,2.03,70.34,25.51
Alistar,247,56.82,4.18,14.83,8.9
Ambessa,319,31.29,2.08,44.68,22.28
Amumu,145,38.12,2.53,5.24,14.57
Anivia,221,34.64,2.09,64.14,19.02
Annie,207,30.73,1.68,66.83,22.48
Aphelios,251,37.49,1.86,61.9,24.63
Ashe,1079,32.44,1.8,58.61,21.02
AurelionSol,168,31.52,1.52,65.67,21.93
Aurora,250,30.78,1.68,71.61,24.42
Azir,140,33.24,2.38,75.74,23.77
Bard,503,35.29,1.81,11.56,12.9
Belveth,111,32.76,2.44,5.94,18.16
Blitzcrank,185,44.67,2.49,14.43,9.82
Brand,649,34.99,1.98,45.37,22.76
Braum,246,49.58,3.24,14.91,8.5
Briar,384,36.8,2.82,8.98,21.53
Caitlyn,1170,38.56,2.28,67.07,22.74
Camille,330,33.77,1.93,52.15,21.42
Cassiopeia,136,31.99,2.0,77.97,22.07
Chogath,229,31.14,2.19,55.1,20.24
Corki,120,36.36,1.91,66.42,23.91
Darius,539,30.91,2.01,62.78,20.43
Diana,863,36.04,2.39,38.62,22.31
DrMundo,220,37.25,2.67,66.14,24.17
Draven,256,37.57,2.12,65.71,24.27
Ekko,808,34.88,2.27,24.89,20.61
Elise,189,33.6,2.08,9.91,18.95
Evelynn,208,25.22,1.38,3.05,20.38
Ezreal,1068,35.85,1.84,65.06,25.0
FiddleSticks,205,28.52,1.75,13.46,19.15
Fiora,305,25.3,1.24,67.74,23.71
Fizz,486,36.93,1.86,63.9,21.92
Galio,190,46.87,3.07,63.1,18.76
Gangplank,773,22.99,1.16,67.5,25.09
Garen,591,30.85,2.15,69.69,21.33
Gnar,271,27.09,1.59,70.81,22.27
Gragas,396,29.69,1.81,38.88,20.95
Graves,526,25.02,1.28,6.13,21.42
Gwen,248,29.84,1.79,55.16,22.95
Hecarim,308,31.47,1.93,3.25,20.73
Heimerdinger,126,25.25,1.48,74.47,25.62
Hwei,657,29.95,1.35,66.61,23.96
Illaoi,162,27.98,1.63,75.37,25.15
Irelia,632,38.02,2.91,81.2,23.76
Ivern,127,25.39,1.36,10.2,11.6
Janna,337,33.07,1.76,13.76,7.8
JarvanIV,327,37.27,2.73,4.29,17.18
Jax,525,31.47,2.2,52.8,21.46
Jayce,322,26.3,1.5,62.5,24.51
Jhin,867,33.5,1.93,64.82,21.03
Jinx,991,36.77,2.14,63.44,22.98
KSante,220,35.66,2.52,71.81,21.48
Kaisa,834,36.65,2.05,64.66,23.59
Kalista,149,35.2,1.93,62.29,21.96
Karma,791,32.34,1.6,16.62,10.25
Karthus,230,28.22,1.61,23.17,28.88
Kassadin,308,37.56,2.34,70.5,23.33
Katarina,743,36.05,2.17,64.2,25.2
Kayle,235,25.69,1.34,66.5,20.91
Kayn,874,35.42,2.45,7.89,20.66
Kennen,122,26.09,1.69,68.63,22.44
Khazix,412,27.06,1.72,2.08,20.77
Kindred,132,34.6,2.17,4.09,21.6
Kled,155,34.04,2.66,66.63,23.06
KogMaw,124,43.67,2.9,62.6,27.65
Leblanc,307,28.26,1.46,66.94,22.65
LeeSin,802,32.46,2.03,4.23,17.93
Leona,409,50.27,3.49,15.36,10.16
Lillia,146,25.03,1.17,9.1,20.03
Lissandra,383,38.22,2.51,74.15,21.63
Lucian,624,38.12,2.1,63.17,24.46
Lulu,785,28.82,1.32,14.45,7.03
Lux,1246,29.96,1.57,52.87,21.07
Malphite,655,34.16,2.31,57.28,20.15
Malzahar,600,30.71,1.73,79.61,22.08
Maokai,174,52.48,3.93,22.28,13.15
MasterYi,522,29.66,1.82,7.94,21.27
Mel,498,34.1,1.57,64.4,22.42
Milio,753,28.87,1.32,14.55,5.69
MissFortune,356,40.51,2.41,62.51,22.56
MonkeyKing,442,31.86,2.15,17.97,19.35
Mordekaiser,408,31.42,2.08,63.59,22.28
Morgana,359,34.6,1.71,20.45,14.7
Naafiri,645,37.58,2.55,29.07,21.56
Nami,1017,27.86,1.2,13.93,8.68
Nasus,499,34.51,2.69,34.59,19.56
Nautilus,576,48.73,3.05,16.0,10.28
Neeko,144,36.68,1.85,26.19,17.32
Nidalee,134,27.54,1.36,8.31,19.78
Nilah,123,48.67,3.54,60.45,20.79
Nocturne,422,29.97,2.17,4.1,18.29
Nunu,135,38.41,2.98,7.59,15.61
Olaf,226,30.54,2.2,60.94,23.36
Orianna,168,25.02,1.0,75.03,21.53
Ornn,278,36.85,2.41,65.67,19.43
Pantheon,430,37.39,2.37,36.55,21.14
Poppy,182,41.58,2.84,33.63,18.16
Pyke,370,37.81,1.91,13.33,12.33
Qiyana,301,34.1,2.15,50.23,23.6
Quinn,587,26.62,1.49,24.05,23.18
Rakan,271,48.72,2.96,16.37,7.58
Rammus,256,38.63,2.73,3.58,13.51
RekSai,203,33.36,2.14,12.8,18.53
Rell,197,47.93,2.81,15.92,9.57
Renata,111,34.8,1.58,15.76,9.19
Renekton,373,32.91,2.24,72.07,22.65
Rengar,577,27.75,1.68,10.03,20.88
Riven,421,31.3,2.0,64.99,20.85
Rumble,143,26.7,1.38,66.49,23.33
Ryze,252,31.8,1.55,78.13,23.9
Samira,308,41.92,2.47,62.51,25.91
Sejuani,174,41.49,3.12,7.45,16.25
Senna,1814,37.71,2.06,40.6,19.68
Seraphine,1113,32.91,1.64,20.97,13.43
Sett,371,30.68,2.0,65.43,22.56
Shaco,519,29.21,1.74,4.47,18.53
Shen,289,37.83,2.73,52.92,17.7
Shyvana,393,28.9,1.81,5.47,20.01
Singed,182,32.09,2.14,80.69,20.63
Sion,480,42.16,3.25,68.14,20.22
Sivir,400,37.97,1.97,66.63,23.25
Skarner,96,47.4,3.84,14.79,17.35
Smolder,483,38.8,2.15,59.3,24.14
Sona,451,35.14,1.95,13.06,10.19
Soraka,684,27.05,1.27,14.71,5.5
Swain,386,38.75,2.26,39.15,20.1
Sylas,862,40.83,2.94,40.8,22.43
Syndra,382,29.17,1.46,76.24,23.78
TahmKench,307,48.01,3.42,42.12,18.93
Taliyah,134,30.39,1.63,54.04,23.42
Talon,706,28.06,1.66,21.48,22.74
Taric,114,55.14,3.92,16.87,7.57
Teemo,413,22.15,1.12,63.54,23.89
Thresh,949,43.32,2.65,17.45,9.5
Tristana,442,35.85,2.09,61.26,23.6
Trundle,172,28.06,1.76,47.87,19.5
Tryndamere,223,30.3,2.27,67.6,23.65
TwistedFate,307,29.48,1.53,63.88,18.58
Twitch,439,33.95,1.93,52.75,25.17
Udyr,270,38.47,2.87,17.06,19.14
Urgot,164,34.29,2.47,66.52,22.68
Varus,357,31.43,1.77,64.47,23.18
Vayne,722,30.7,1.59,60.11,22.41
Veigar,412,30.09,1.31,68.31,22.08
Velkoz,350,28.9,1.22,36.98,22.78
Vex,200,30.22,1.46,70.0,23.06
Vi,297,29.69,1.79,6.21,17.41
Viego,610,30.82,2.05,4.65,19.44
Viktor,496,32.52,1.72,76.39,25.43
Vladimir,791,45.52,2.8,72.13,25.2
Volibear,294,28.45,1.93,60.82,22.26
Warwick,377,33.58,2.4,19.57,19.36
Xayah,289,36.68,1.87,62.37,23.35
Xerath,481,25.21,1.13,53.17,24.2
XinZhao,287,38.42,3.11,22.16,20.32
Yasuo,1003,32.4,1.87,75.42,21.51
Yone,744,29.96,1.68,72.75,24.39
Yorick,241,26.82,1.68,65.77,22.69
Yunara,301,37.53,2.18,63.73,24.56
Yuumi,390,10.58,0.62,10.18,8.39
Zaahen,168,33.62,2.35,56.72,22.96
Zac,208,46.09,3.79,21.17,16.86
Zed,943,29.98,1.75,55.73,24.51
Zeri,181,39.7,2.33,69.79,25.47
Ziggs,209,28.0,1.18,65.15,25.61
Zilean,278,32.55,1.49,23.33,9.64
Zoe,313,26.94,1.2,61.08,22.48
Zyra,214,31.9,1.71,17.89,19.05
